Date : 2023-08-20 21:15:41
Directory : /Users/bogz/Documents/sky-brigade
Total : 157 files,  7370 codes, 1298 comments, 1937 blanks, all 10605 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        126 |      6,381 |      1,199 |      1,722 |      9,302 |
| GLSL     |         23 |        526 |         99 |        176 |        801 |
| XML      |          6 |        397 |          0 |         19 |        416 |
| YAML     |          1 |         58 |          0 |         16 |         74 |
| Markdown |          1 |          8 |          0 |          4 |         12 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        157 |      7,370 |      1,298 |      1,937 |     10,605 |
| . (Files)                                                                                           |          1 |          8 |          0 |          4 |         12 |
| .github                                                                                             |          1 |         58 |          0 |         16 |         74 |
| .github/workflows                                                                                   |          1 |         58 |          0 |         16 |         74 |
| Game2D                                                                                              |          9 |        312 |         11 |         91 |        414 |
| Game2D (Files)                                                                                      |          5 |        243 |          0 |         59 |        302 |
| Game2D/content                                                                                      |          4 |         69 |         11 |         32 |        112 |
| Game2D/content (Files)                                                                              |          2 |         33 |          2 |         15 |         50 |
| Game2D/content/noise                                                                                |          2 |         36 |          9 |         17 |         62 |
| Horizon                                                                                             |        120 |      5,664 |      1,234 |      1,534 |      8,432 |
| Horizon (Files)                                                                                     |          6 |        563 |        117 |        118 |        798 |
| Horizon.Prefabs                                                                                     |          5 |        147 |          6 |         37 |        190 |
| Horizon.Prefabs (Files)                                                                             |          1 |         21 |          0 |          4 |         25 |
| Horizon.Prefabs/Character                                                                           |          3 |         86 |          3 |         22 |        111 |
| Horizon.Prefabs/Effects                                                                             |          1 |         40 |          3 |         11 |         54 |
| Horizon.Tests                                                                                       |         10 |        662 |         20 |        154 |        836 |
| Horizon.Tests (Files)                                                                               |          3 |        181 |          4 |         36 |        221 |
| Horizon.Tests/Tests                                                                                 |          7 |        481 |         16 |        118 |        615 |
| Horizon/Assets                                                                                      |         17 |        436 |         87 |        136 |        659 |
| Horizon/Assets/DemoEffectStack                                                                      |          3 |         33 |          1 |          7 |         41 |
| Horizon/Assets/basic_shader                                                                         |          2 |         26 |          1 |         10 |         37 |
| Horizon/Assets/effects                                                                              |          2 |         25 |          1 |          6 |         32 |
| Horizon/Assets/fbo_shader                                                                           |          2 |         30 |          1 |         10 |         41 |
| Horizon/Assets/material_shader                                                                      |          4 |        264 |         78 |         75 |        417 |
| Horizon/Assets/sprite_shaders                                                                       |          2 |         37 |          5 |         17 |         59 |
| Horizon/Assets/tilemap_shaders                                                                      |          2 |         21 |          0 |         11 |         32 |
| Horizon/Collections                                                                                 |          3 |        104 |         35 |         30 |        169 |
| Horizon/Content                                                                                     |          1 |        202 |          2 |         54 |        258 |
| Horizon/Data                                                                                        |          5 |         66 |         41 |         22 |        129 |
| Horizon/Data (Files)                                                                                |          4 |         58 |         41 |         20 |        119 |
| Horizon/Data/MaterialSerialiser                                                                     |          1 |          8 |          0 |          2 |         10 |
| Horizon/Debugging                                                                                   |          8 |        891 |         13 |        212 |      1,116 |
| Horizon/Debugging (Files)                                                                           |          1 |         75 |          0 |         12 |         87 |
| Horizon/Debugging/Debuggers                                                                         |          7 |        816 |         13 |        200 |      1,029 |
| Horizon/Dialogs                                                                                     |          3 |        143 |         55 |         33 |        231 |
| Horizon/GameEntity                                                                                  |          9 |        319 |        230 |        110 |        659 |
| Horizon/GameEntity (Files)                                                                          |          4 |        153 |        136 |         52 |        341 |
| Horizon/GameEntity/Components                                                                       |          5 |        166 |         94 |         58 |        318 |
| Horizon/Input                                                                                       |         13 |        348 |        212 |         96 |        656 |
| Horizon/Input (Files)                                                                               |         10 |        180 |        119 |         50 |        349 |
| Horizon/Input/Components                                                                            |          3 |        168 |         93 |         46 |        307 |
| Horizon/Logging                                                                                     |          3 |        133 |         20 |         22 |        175 |
| Horizon/OpenGL                                                                                      |          9 |        577 |         89 |        160 |        826 |
| Horizon/Primitives                                                                                  |          2 |         11 |         10 |          3 |         24 |
| Horizon/Rendering                                                                                   |         41 |      1,871 |        323 |        538 |      2,732 |
| Horizon/Rendering (Files)                                                                           |         19 |        716 |        215 |        219 |      1,150 |
| Horizon/Rendering/Effects                                                                           |          4 |        206 |         26 |         61 |        293 |
| Horizon/Rendering/Effects (Files)                                                                   |          3 |        169 |         26 |         46 |        241 |
| Horizon/Rendering/Effects/Components                                                                |          1 |         37 |          0 |         15 |         52 |
| Horizon/Rendering/Shapes                                                                            |          2 |         62 |         22 |         17 |        101 |
| Horizon/Rendering/Spriting                                                                          |          8 |        419 |         31 |        115 |        565 |
| Horizon/Rendering/Spriting (Files)                                                                  |          6 |        299 |          2 |         77 |        378 |
| Horizon/Rendering/Spriting/Components                                                               |          1 |         97 |          7 |         32 |        136 |
| Horizon/Rendering/Spriting/Data                                                                     |          1 |         23 |         22 |          6 |         51 |
| Horizon/Rendering/Tiles                                                                             |          8 |        468 |         29 |        126 |        623 |
